n,m,kruskal_time,prim_time,true_time
10,9,0,0,0
10,15,0,0,0
10,21,0,0,0
10,27,0,0,0
10,33,0,0,0
10,39,0,0,0
10,45,0,0,0
10,51,0,0,0
100,707,0,0,1.66667
100,1414,0,0,4
100,2121,0.666667,0,7
100,2828,1,0.666667,10
100,3535,1,0,10.6667
100,4242,1,0.666667,13.3333
100,4949,1.66667,1,17.6667
200,2843,0.333333,1,11.3333
200,5686,2,1.66667,26.3333
200,8529,3.66667,2.66667,41.3333
200,11372,5,3,54.3333
200,14215,6.33333,3.33333,70.3333
200,17058,7.66667,5.33333,93
200,19901,8.66667,5.33333,98.6667
500,17821,8.33333,6,161
500,35642,16,8.33333,281.333
500,53463,16.6667,11.6667,327
500,71284,25,13,468
500,89105,30.3333,17,579.333
500,106926,35.6667,20,668.667
500,124747,43.6667,32,892
1000,71357,42.3333,25.6667,1465.67
1000,142714,48,29,1496
1000,214071,95.6667,40.6667,2547.67
1000,285428,99,56.3333,3114.67
1000,356785,139.333,90,5086
1000,428142,158.667,81.3333,4904
1000,499499,191.333,94.6667,5774.33
2000,285571,105.333,64.3333,6187.67
2000,571142,213.333,116.667,12147.7
2000,856713,344.333,167,18116
2000,1142284,431,208.667,23294
2000,1427855,633.667,261.667,31411
2000,1713426,649.333,337,35551.3
2000,1998997,779.667,353.667,41802
3000,642643,427.667,216,33868.7
3000,1285286,637.333,408,58889.7
3000,1927929,1683.33,693,110396
3000,2570572,1420.67,640.333,100525
3000,3213215,1229.33,552.333,93823.3
3000,3855858,2133.67,645.333,138764
3000,4498501,2568.33,1091.67,155361
