n,m,kruskal_time,prim_time,true_time
10,9,0,0,0
10,18,0,0,0
10,27,0,0,0
10,36,0,0,0
10,45,0,0,0
10,54,0,0,0
100,99,0,0,0
100,1089,0,0,1.8
100,2079,0,0,3.75
100,3069,0.25,0,5.05
100,4059,0.65,0.1,7
100,5049,0.95,0.2,8.55
200,199,0,0,0
200,4179,0.45,0.05,10.15
200,8159,1.4,1,20.7
200,12139,2.45,1.6,31.4
200,16119,3.6,2,41.4
200,20099,4.7,2.9,52.25
500,499,0,0,1.05
500,25449,6.05,4.3,120.85
500,50399,13,8,243
500,75349,20.2,11.85,375.75
500,100299,27.95,15.8,501.65
500,125249,35.3,19.55,632.25
1000,999,0,0,4.6
1000,100899,28.95,18.3,909.15
1000,200799,58.45,33,1777.3
1000,300699,91.15,49.4,2773.15
1000,400599,129.2,66.3,3832.5
1000,500499,164.2,82.8,4881.95
2000,1999,0,0.6,18.4
2000,401799,131.15,71.5,7104.6
2000,801599,268.4,134.8,14413.9
2000,1201399,414.5,198.45,21761.7
2000,1601199,563.4,265.55,29303.4
2000,2000999,745.45,333.35,38778.2
3000,2999,0.5,1.45,43.15
3000,902699,326.5,163.8,24352.9
3000,1802399,674.25,311.8,49519.2
3000,2702099,1006.15,445.3,72266.4
3000,3601799,1360.15,572.6,94224.7
3000,4501499,1636.05,703.4,116516
